Time,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken,others,therocktrading
2017-12-20 15:00:00 UTC,16655.7404542638,16874.4558238035,18707.3507993811,16779.0438683688,16907.8845202716,16737.0019488818,16766.4569597616,16585.3639978507,16737.86552386115,17866.3333333333
2017-12-20 16:00:00 UTC,16185.6685149659,16372.7163381141,18283.5016833941,16310.982754016,16566.5458183861,16303.9146124261,16282.7893113772,16064.9259745589,16252.86820795125,16350.0
2017-12-20 17:00:00 UTC,16622.8763032748,16744.9569056344,18627.2785337621,16755.2643936488,16851.133739206,16717.0666292505,16716.1029803921,16172.0732735899,16026.451262857032,16749.9966666667
2017-12-20 18:00:00 UTC,16638.9706585305,16744.1081666667,18673.7416584159,16796.3785250518,16920.4655700029,16736.8625208769,16717.7777900553,16275.2685430464,16576.09100547005,16750.0
2017-12-20 19:00:00 UTC,16600.41621603,16706.9695910961,18645.4732780708,16794.797100125,16774.1728753441,16703.0182070708,16706.3215652174,16298.1209570958,16544.472640377702,
2017-12-20 20:00:00 UTC,16629.746253551,16706.5329694324,18678.1312903226,16768.281077742,16845.8449205195,16718.1002358827,16682.4946783626,16365.1057553956,16520.79806135005,
2017-12-20 21:00:00 UTC,16268.5656697721,16354.8061137961,18328.8129778052,16467.6632058014,16643.315793639,16381.6290185951,16390.6110224439,16019.3924126172,16132.26378907495,16633.2146153846
2017-12-20 22:00:00 UTC,15911.4794676555,15947.3168775384,17869.5595748116,16103.8552825172,16294.2156177969,16058.2860257656,16068.1037613489,15709.0717797442,15882.573684140749,16497.485
2017-12-20 23:00:00 UTC,16258.8586402702,16335.9329590985,18220.5204648074,16452.8125473528,16592.8128434842,16448.4417889493,16372.9789067524,16045.2782187803,16092.62446848145,
2017-12-21 00:00:00 UTC,16541.1771737085,16522.3355288853,18396.9585846154,16617.5723672643,16721.512256194,16645.201837037,16571.803051948,16252.9795219124,16142.259884037849,16952.44
2017-12-21 01:00:00 UTC,16456.2487652883,16496.9546175537,18399.0280343214,16597.288105683,16397.633018425,16608.8825594564,16557.5708450704,16236.8503311258,16166.64308825275,
2017-12-21 02:00:00 UTC,16432.1317735179,16446.2046539469,18291.1204374057,16569.0176722606,16323.6539411988,16542.9164811379,16504.3978512397,16253.2937215651,16382.3142898467,
2017-12-21 03:00:00 UTC,16452.8735955121,16423.6022923589,18233.6302367531,16542.2969908549,16398.1194001176,16447.3041417323,16431.2174820144,16111.8062663185,16240.6616031191,16500.0025
2017-12-21 04:00:00 UTC,16930.865719563,16909.0056208482,18482.7688175182,16993.5122877417,16776.8298408549,16936.6672685789,16918.8738150289,16479.2229557844,16439.628886126,
2017-12-21 05:00:00 UTC,16786.2892969483,16768.3092870201,18380.8723573573,16867.2933270809,16700.9050246796,16790.4326244813,16798.2146583851,16315.313652609,16444.2627682257,
2017-12-21 06:00:00 UTC,16979.3374602021,16979.8842250618,18509.8331366459,17072.4603769234,16697.9244826089,17007.2953856942,16952.653627451,16559.031981982,16476.3893156494,
2017-12-21 07:00:00 UTC,17068.1710670259,17102.4394985974,18638.9938084875,17192.2507195493,16829.0790784758,17147.7985583756,17111.6192857143,16740.3714285714,16607.00133893935,
2017-12-21 08:00:00 UTC,16726.5559624241,16876.1779627475,18505.7098611111,17000.1932509708,16702.4473966601,16870.7271606217,16881.7070646766,16581.8402912621,16634.0631592848,17489.59
2017-12-21 09:00:00 UTC,16752.3022465428,16882.3945988587,18481.1386577181,17002.5986096629,16683.0913113309,16854.3523222749,16849.1048854962,16517.1178504673,16676.08437777355,
2017-12-21 10:00:00 UTC,16499.9335061864,16555.1207596372,18177.1136066713,16726.4124587182,16474.7040537083,16581.7344777663,16583.3223529412,16248.9047619048,16483.936550828348,
