Time,bitfinex,bitflyer,bitstamp,cex.io,coinbase,exmo,gemini,hitbtc,kraken,others
2018-02-05 20:30:00 UTC,693.0,212.0,320.0,72.0,856.0,171.0,66.0,294.0,542.0,232.0
2018-02-05 20:31:00 UTC,754.0,243.0,304.0,172.0,1109.0,146.0,95.0,159.0,,322.0
2018-02-05 20:32:00 UTC,675.0,254.0,425.0,85.0,1491.0,187.0,122.0,179.0,,278.0
2018-02-05 20:33:00 UTC,747.0,308.0,439.0,87.0,903.0,121.0,99.0,220.0,,350.0
2018-02-05 20:34:00 UTC,840.0,439.0,399.0,168.0,1664.0,207.0,100.0,247.0,107.0,243.0
2018-02-05 20:35:00 UTC,645.0,294.0,437.0,147.0,711.0,137.0,49.0,156.0,271.0,254.0
2018-02-05 20:36:00 UTC,460.0,215.0,306.0,72.0,667.0,80.0,24.0,107.0,540.0,215.0
2018-02-05 20:37:00 UTC,489.0,262.0,274.0,184.0,1235.0,145.0,129.0,178.0,487.0,179.0
2018-02-05 20:38:00 UTC,514.0,197.0,284.0,141.0,513.0,100.0,44.0,145.0,509.0,155.0
2018-02-05 20:39:00 UTC,284.0,213.0,181.0,39.0,565.0,92.0,46.0,134.0,528.0,144.0
2018-02-05 20:40:00 UTC,496.0,249.0,349.0,112.0,1082.0,44.0,51.0,167.0,490.0,197.0
2018-02-05 20:41:00 UTC,514.0,253.0,254.0,32.0,710.0,177.0,38.0,82.0,559.0,147.0
2018-02-05 20:42:00 UTC,391.0,228.0,144.0,25.0,484.0,72.0,9.0,112.0,292.0,130.0
2018-02-05 20:43:00 UTC,261.0,112.0,184.0,56.0,600.0,73.0,69.0,46.0,312.0,160.0
2018-02-05 20:44:00 UTC,273.0,190.0,166.0,28.0,444.0,22.0,69.0,73.0,406.0,137.0
2018-02-05 20:45:00 UTC,220.0,180.0,135.0,106.0,517.0,78.0,18.0,46.0,336.0,112.0
2018-02-05 20:46:00 UTC,282.0,165.0,183.0,159.0,627.0,81.0,30.0,53.0,224.0,154.0
2018-02-05 20:47:00 UTC,441.0,264.0,194.0,31.0,610.0,126.0,38.0,44.0,385.0,122.0
2018-02-05 20:48:00 UTC,648.0,260.0,266.0,233.0,1006.0,131.0,65.0,106.0,429.0,135.0
2018-02-05 20:49:00 UTC,458.0,240.0,420.0,118.0,1176.0,108.0,69.0,66.0,411.0,183.0
2018-02-05 20:50:00 UTC,553.0,210.0,340.0,123.0,1384.0,99.0,71.0,141.0,650.0,300.0
2018-02-05 20:51:00 UTC,523.0,184.0,226.0,119.0,662.0,77.0,19.0,70.0,417.0,241.0
2018-02-05 20:52:00 UTC,467.0,196.0,176.0,93.0,677.0,102.0,48.0,59.0,315.0,150.0
2018-02-05 20:53:00 UTC,401.0,157.0,121.0,148.0,531.0,42.0,32.0,34.0,287.0,96.0
2018-02-05 20:54:00 UTC,336.0,93.0,221.0,29.0,498.0,23.0,28.0,33.0,345.0,147.0
2018-02-05 20:55:00 UTC,368.0,99.0,166.0,34.0,438.0,31.0,16.0,87.0,313.0,119.0
2018-02-05 20:56:00 UTC,338.0,133.0,301.0,84.0,897.0,111.0,35.0,61.0,355.0,165.0
2018-02-05 20:57:00 UTC,330.0,130.0,233.0,94.0,720.0,72.0,30.0,88.0,320.0,157.0
2018-02-05 20:58:00 UTC,599.0,207.0,354.0,62.0,656.0,47.0,37.0,92.0,378.0,185.0
2018-02-05 20:59:00 UTC,370.0,151.0,224.0,36.0,414.0,27.0,30.0,85.0,284.0,111.0
2018-02-05 21:00:00 UTC,316.0,137.0,173.0,36.0,534.0,47.0,26.0,38.0,251.0,119.0
2018-02-05 21:01:00 UTC,240.0,125.0,127.0,16.0,275.0,25.0,17.0,29.0,183.0,184.0
2018-02-05 21:02:00 UTC,416.0,169.0,272.0,32.0,945.0,93.0,45.0,87.0,261.0,151.0
2018-02-05 21:03:00 UTC,460.0,121.0,344.0,73.0,723.0,106.0,39.0,93.0,382.0,235.0
2018-02-05 21:04:00 UTC,583.0,207.0,358.0,42.0,768.0,83.0,58.0,115.0,615.0,183.0
2018-02-05 21:05:00 UTC,388.0,160.0,177.0,37.0,551.0,107.0,49.0,95.0,322.0,123.0
2018-02-05 21:06:00 UTC,324.0,161.0,237.0,31.0,503.0,107.0,63.0,77.0,240.0,102.0
2018-02-05 21:07:00 UTC,229.0,113.0,209.0,24.0,466.0,37.0,47.0,66.0,287.0,85.0
2018-02-05 21:08:00 UTC,284.0,157.0,181.0,30.0,359.0,59.0,45.0,46.0,218.0,83.0
2018-02-05 21:09:00 UTC,185.0,96.0,96.0,18.0,496.0,28.0,26.0,62.0,170.0,85.0
2018-02-05 21:10:00 UTC,685.0,123.0,179.0,46.0,605.0,60.0,43.0,53.0,256.0,125.0
2018-02-05 21:11:00 UTC,414.0,143.0,178.0,37.0,504.0,75.0,33.0,47.0,315.0,159.0
2018-02-05 21:12:00 UTC,343.0,209.0,267.0,60.0,543.0,50.0,44.0,123.0,408.0,135.0
2018-02-05 21:13:00 UTC,259.0,136.0,207.0,40.0,498.0,36.0,40.0,72.0,207.0,111.0
2018-02-05 21:14:00 UTC,262.0,178.0,143.0,29.0,377.0,30.0,29.0,64.0,183.0,118.0
2018-02-05 21:15:00 UTC,208.0,101.0,164.0,34.0,354.0,22.0,18.0,79.0,138.0,103.0
