Time,bit-x,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,hitbtc,itbit,kraken
2018-02-14 03:28:00 UTC,,8675.618271754,8681.15631578947,8848.88,8671.14702702702,8826.52250025,8686.64615384615,8708.65025,8684.26,8670.21
2018-02-14 03:29:00 UTC,,8677.92916666667,8683.91571428571,,8672.44,8835.445023796,8689.46,8703.84923076923,8688.37666666667,8684.58181818182
2018-02-14 03:30:00 UTC,,8676.63783783784,8689.84,8859.9,8674.56807692307,8836.6512805,8689.604,8709.35,,8683.74
2018-02-14 03:31:00 UTC,8603.79,8684.62,8698.02181818182,,8674.995,8864.56,8696.515,8712.79533333333,8697.12,8695.06818181818
2018-02-14 03:32:00 UTC,8580.25,8688.29442006956,8706.05303030303,,8678.18,8804.305001,8698.78444444444,8711.03777777778,8700.0,8705.94814814815
2018-02-14 03:33:00 UTC,,8698.04117647058,8713.06545454545,,8683.68964285714,8862.655,8704.34,8719.44,8707.01333333333,8710.2
2018-02-14 03:34:00 UTC,8687.75,8690.45057184723,8699.986,8860.1,8684.7668,8816.99118299167,8700.805,8717.81,,8710.0
2018-02-14 03:35:00 UTC,,8680.98163265306,8691.1,8861.9,8684.79133333334,8861.81608186667,8697.81416666667,8708.42117647059,,
2018-02-14 03:36:00 UTC,8584.18,8679.284,8697.5547368421,8861.9,8684.79636363636,8876.54519090909,8698.15,8704.78333333333,,8700.33333333333
2018-02-14 03:37:00 UTC,,8687.5375,8705.79666666667,8861.44,8684.79533333334,8853.15229630861,8696.51,8712.41230769231,,8696.83333333333
2018-02-14 03:38:00 UTC,8582.6,8684.40769230769,8695.67727272727,8884.2875,8684.79769230769,,,8710.397,,8694.13333333333
2018-02-14 03:39:00 UTC,8574.35,8666.38444444444,8686.60125,8852.36666666667,8682.60826923077,8831.95,8682.73,8704.92294117647,8694.10333333333,
2018-02-14 03:40:00 UTC,,8658.45405405405,8671.462,8843.0,8664.40019230769,,8675.03285714286,8696.91,,8678.68
2018-02-14 03:41:00 UTC,8619.79,8658.95333333333,8673.86,,8660.16826086956,8843.69583384167,8676.11458333333,8696.40555555556,8671.15,8681.35
2018-02-14 03:42:00 UTC,8462.2,8669.64117647059,8685.964,8839.03333333333,8661.99380952381,,8670.01,8699.280625,,8686.14
2018-02-14 03:43:00 UTC,,8673.09166666667,8692.71772727273,,8661.99888888889,8864.56,8682.164,8696.76846153846,8682.68,8680.96
2018-02-14 03:44:00 UTC,8571.165,8664.23783783784,8674.585,,8661.99333333333,,8682.62037037037,8692.76538461539,,8680.0
2018-02-14 03:45:00 UTC,8677.15,8669.25030060432,8677.5812,,8661.99666666667,8855.775,,8694.596,8681.16666666667,8680.0
2018-02-14 03:46:00 UTC,,8671.27878787879,8681.075,8854.73333333333,8661.99714285714,8829.8176606,,8696.49153846154,,8685.22105263158
2018-02-14 03:47:00 UTC,8556.5,8689.53511286205,8727.76976878613,8882.775,8670.74401574803,8839.96633065,8692.81323943662,8715.44894736842,8700.5219047619,8696.18181818182
2018-02-14 03:48:00 UTC,,8706.85061728396,8726.04409638554,8883.225,8685.24352941177,8858.544,8713.765,8729.64055555555,8714.21,8710.3
2018-02-14 03:49:00 UTC,,8708.01904761905,8726.295,,8694.18466666667,8871.874029086,8714.99,8726.075,,8722.08275862069
2018-02-14 03:50:00 UTC,8661.6,8707.82833333333,8728.93,8879.3,8696.78612903226,8887.36,8715.0,8729.62555555556,,8716.7
2018-02-14 03:51:00 UTC,8687.53,8706.44042553192,8726.50833333333,8877.4,8698.22285714286,8882.99937503125,8715.84769230769,8729.14,8720.58,8720.43333333333
2018-02-14 03:52:00 UTC,,8705.19117647059,8713.46666666667,8878.1,8698.3525,8880.0,8715.40647058824,8727.58,8717.98,8718.89
2018-02-14 03:53:00 UTC,8631.97,8706.520442402,8716.45095238095,,8698.35454545455,8880.0,8715.91,8728.11,8716.21,8715.2
2018-02-14 03:54:00 UTC,,8704.92258064516,8717.87,8879.56666666667,8698.23271186441,8880.7,8715.91882352941,8729.69388888889,8715.568,8712.74117647059
2018-02-14 03:55:00 UTC,,8697.93333333333,8715.37571428571,8886.05,8694.84480769231,8880.00888,8715.675,8714.59736842105,8714.36,8709.79166666667
2018-02-14 03:56:00 UTC,,8689.37419354839,8701.4325,8865.1,8690.00153846154,,8701.08333333333,8700.194,,8707.8
2018-02-14 03:57:00 UTC,8553.65,8684.43,8692.30166666667,8860.8,8687.088,8892.745,8707.205,8696.81928571428,,8703.82857142857
2018-02-14 03:58:00 UTC,8666.67,8684.66470588235,8694.94352941177,,8681.73749999999,8880.00888,8703.0,8698.73666666667,8698.0,8699.96153846154
2018-02-14 03:59:00 UTC,8595.38,8692.94543690923,8699.76545454546,8876.6,8679.79,8894.9,8704.42045454545,8708.230625,8698.0,8706.875
2018-02-14 04:00:00 UTC,,8702.56383080344,8705.65238095238,8863.7,8682.31268292683,8872.812522165,8704.44,8714.25541666667,8702.48666666667,8709.58333333333
2018-02-14 04:01:00 UTC,8493.41,8707.45440689703,8721.86583333333,8882.85714285714,8689.21086956522,8871.45806792,8710.9125,8723.86,,8719.58
2018-02-14 04:02:00 UTC,8590.2,8710.21912394391,8725.61380952381,,8694.19102040817,8888.64599374737,8715.93,8724.67857142857,8717.54,8722.025
2018-02-14 04:03:00 UTC,,8710.37587357118,8720.4825,8890.65,8698.55048780488,8895.1076051175,8718.0675,8724.3425,,8723.70588235294
2018-02-14 04:04:00 UTC,8582.9,8712.80782164077,8727.11709677419,8895.9,8699.58311111111,8899.89,8719.17,8727.52375,8723.85,8726.26666666667
2018-02-14 04:05:00 UTC,,8724.55143703255,8742.79545454545,8904.61428571429,8708.18398496241,8889.095,8738.44223529412,8740.00363636364,8728.6275,8727.48571428571
2018-02-14 04:06:00 UTC,8605.44,8733.54616726218,8749.8025,8914.82666666666,8718.81146067415,8900.06533333333,8756.8388372093,8754.77052631579,8747.53,8736.60357142857
2018-02-14 04:07:00 UTC,,8746.16441239547,8766.88314814815,8921.49189189189,8744.67626811593,8909.829141006,8765.27244897959,8755.955,8757.45,8760.52839506173
2018-02-14 04:08:00 UTC,8625.25,8751.83466181114,8777.16291666667,8933.4775,8765.15035714286,8918.95978421053,8774.68948717949,8791.69782608696,8779.43,8780.226
2018-02-14 04:09:00 UTC,8483.0475,8782.44457049567,8785.04061728395,8937.88913043478,8773.21140127389,8926.77524827636,8777.61425925926,8805.66637254902,8786.462,8790.96721311475
2018-02-14 04:10:00 UTC,,8790.32321161073,8793.67666666667,8946.52,8786.99404255319,8936.95787256522,8786.97588235294,8804.09465517242,8798.995,8794.44193548387
2018-02-14 04:11:00 UTC,8528.22,8782.31,8788.92433333333,8939.85483870968,8775.79609929078,8940.73695652174,8786.99942857143,8786.89217391305,,8799.58717948718
2018-02-14 04:12:00 UTC,,8778.30566942277,8786.014375,8934.86666666667,8770.0130952381,8929.502,8786.53,8782.82939393939,8786.43333333333,8791.052
2018-02-14 04:13:00 UTC,8651.73,8775.93135708906,8781.62,8928.7,8767.9166,8928.755,8775.2075,8784.05880952381,8780.31,8785.0
2018-02-14 04:14:00 UTC,,8759.39797974571,8759.91897435898,8930.22857142857,8750.95586206896,8943.44999,8760.5,8769.60605263158,8759.91666666667,8782.01860465116
2018-02-14 04:15:00 UTC,8664.95,8760.27658131008,8765.09642857143,8930.76666666667,8763.67359223301,8947.37113374217,8758.0545,8768.09764705882,8761.60714285714,8782.46046511628
2018-02-14 04:16:00 UTC,8662.43,8760.05300133353,8770.2845,8931.5,8757.00916666667,,8769.79595744681,8767.30043478261,8760.995,8780.11818181819
2018-02-14 04:17:00 UTC,8656.8,8769.9640957223,8775.31125,8939.275,8759.9444,8964.62860089747,8780.61468085107,8776.80345238095,8765.86666666667,8778.75
2018-02-14 04:18:00 UTC,,8777.01320539466,8781.305,8938.125,8766.56083333333,8974.24,8782.256875,8785.62666666666,8779.2525,8781.15714285714
2018-02-14 04:19:00 UTC,8665.99,8778.59177078234,8783.35185185185,8937.13333333333,8773.50075757576,8963.095,8781.0008,8789.65357142857,8780.25,8789.08
2018-02-14 04:20:00 UTC,8653.535,8778.72300493303,8782.56969696969,8928.88571428571,8774.25214285714,8960.916,8780.61,8799.12105263158,8786.42,8781.78181818182
2018-02-14 04:21:00 UTC,8656.87,8774.18529411765,8787.82647058824,8931.73333333333,8774.25782608696,8929.4225002525,8781.14454545454,8797.42529411765,,8779.025
