Time,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,hitbtc,itbit,kraken,others
2018-01-22 09:00:00 UTC,11764.8012951439,11754.9606373486,12610.1298165138,11729.3842430279,13010.7197371148,11749.0397612732,11765.7236945813,11746.4462172285,11834.4234165923,11701.0060784314
2018-01-22 10:00:00 UTC,11699.3549168612,11702.9419858658,12588.7086693549,11677.739165346,12942.3205381136,11701.6707951808,11708.0354978962,11688.8700775194,11771.6341463415,11728.4725
2018-01-22 11:00:00 UTC,11500.9662534472,11534.2818307523,12375.301515748,11524.3422851079,12769.3788105228,11521.0578224852,11504.8393292213,11501.555761194,11593.2172043011,11733.2203296703
2018-01-22 12:00:00 UTC,11260.4864843871,11303.0410409407,12159.4109733124,11278.386586914,12566.7112631327,11258.9336374696,11260.2843510424,11286.2116287879,11341.1560213414,11436.1733333333
2018-01-22 13:00:00 UTC,10706.1748993168,10776.5271032713,11625.5922794468,10738.4733289626,12259.8082281592,10713.2801364943,10694.1322473868,10775.4855796497,10844.5621369294,10839.1589795918
2018-01-22 14:00:00 UTC,10675.2990823189,10772.5547464623,11523.9295910781,10691.197325901,12344.0248434845,10670.8976942252,10663.1374524401,10694.8911764706,10806.1628922238,10710.9723943662
2018-01-22 15:00:00 UTC,10457.8963458559,10560.8584603066,11295.5915425066,10485.1836820653,11982.570363142,10512.2505933918,10455.433027179,10521.9435249042,10609.4155140187,10618.5073493976
2018-01-22 16:00:00 UTC,10469.6711490579,10580.9848836663,11287.8767118227,10502.7467919626,11909.0620407973,10486.4306660862,10466.8678089585,10509.2372228844,10600.343854273,10507.5008108108
2018-01-22 17:00:00 UTC,10605.7120602821,10685.3352791461,11436.367539823,10640.5126889345,11923.4563058574,10628.5675337187,10608.8551981352,10625.7031114809,10735.6593628929,10740.0020754717
2018-01-22 18:00:00 UTC,10518.0471055299,10587.6617732794,11349.4690107527,10540.9681610226,11801.8109294,10535.7460010163,10573.526028971,10556.6764968153,10608.9348151615,10672.9610344828
2018-01-22 19:00:00 UTC,10475.1766452602,10563.691451197,11299.9892122187,10506.5726036525,11775.9575415781,10504.6364389754,10478.2947895945,10525.7993787575,10558.8633365665,10513.4685263158
2018-01-22 20:00:00 UTC,10421.4936020312,10447.4566622621,11233.683902439,10439.8278836408,11784.8367987787,10442.6508377214,10441.538127786,10464.0694093686,10470.409913574,10436.8526415094
2018-01-22 21:00:00 UTC,10159.2061844059,10204.6857165005,10978.3648688525,10184.3851979006,11516.4504025847,10178.0247722205,10186.2059385813,10203.6200743494,10207.16655032,10215.4993617021
2018-01-22 22:00:00 UTC,10460.6957334482,10481.7242059776,11250.4719736842,10463.6008978477,11761.148030746,10462.5252095423,10471.9886059909,10455.1000749064,10513.0258379888,10433.1327272727
2018-01-22 23:00:00 UTC,10695.6177408237,10719.8580957408,11508.4889587074,10705.9779140586,11943.7355204695,10707.6486689865,10710.636415212,10716.4188697017,10754.8229654403,10579.8153658537
2018-01-23 00:00:00 UTC,10746.3583344293,10764.838848129,11582.1006686046,10753.3313874286,11842.34816309,10752.8954984093,10744.7139741751,10755.4918468469,10824.0017415215,10772.8601234568
2018-01-23 01:00:00 UTC,10805.8292353731,10848.0137634407,11664.0408206687,10826.2453838534,11813.43321812,10821.2762288687,10777.2834709067,10825.3801535509,10887.5356749311,10800.65875
2018-01-23 02:00:00 UTC,10728.1581577277,10758.8845854923,11583.5690857143,10745.2307618343,11707.5944455092,10765.3038937199,10721.9056339713,10764.5859166667,10788.4182458888,10769.746
2018-01-23 03:00:00 UTC,10872.0826168765,10886.9157155963,11669.3052651515,10870.8730227001,11794.4472920547,10872.0500223339,10865.6183078308,10871.3273015873,10926.99392,10791.5456756757
2018-01-23 04:00:00 UTC,10779.3855432065,10799.2159225353,11596.7647443182,10777.7591515838,11817.5029396447,10816.6478781926,10782.3664351006,10800.9402819237,10849.4601671309,10813.5132
2018-01-23 05:00:00 UTC,10384.6137041081,10431.9976661919,11201.0055307995,10406.6433750978,11505.0052118143,10405.6488668224,10412.8789739987,10428.1738589212,10468.6729436091,10445.1518181818
2018-01-23 06:00:00 UTC,10390.1509845072,10442.6821413277,11200.3392238267,10414.3311966365,11421.5995062589,10417.9667252125,10408.418940865,10452.9908747045,10475.3282345013,10458.1997619048
2018-01-23 07:00:00 UTC,10259.4231061275,10324.2393709528,11062.7122727273,10281.0713046272,11263.0994747341,10272.3310618182,10254.4314413681,10319.0553112033,10345.4893501805,10251.649245283
2018-01-23 08:00:00 UTC,10491.6671675791,10558.0214767303,11273.2935802469,10484.4014877227,11355.0284195953,10524.3332867133,10465.0623587039,10489.783080895,10564.8643966547,10447.9734234234
2018-01-23 09:00:00 UTC,10557.7561408052,10633.1908821349,11315.5930895795,10587.1115283019,11398.1304738044,10605.4536317136,10523.0152473119,10624.5862461538,10632.2742987111,10622.148411215
2018-01-23 10:00:00 UTC,10369.9380038447,10479.4833558442,11149.7265896981,10390.6134621027,11350.6360844835,10373.6663060278,10364.3732201746,10462.5078217822,10452.130616584,10553.7768571429
2018-01-23 11:00:00 UTC,10098.1883407942,10164.4185458905,10896.3186313088,10115.2794131918,11209.3559656427,10086.3561908368,10120.3435522992,10140.0108923884,10191.5059504793,10292.6145132743
2018-01-23 12:00:00 UTC,10212.9951786373,10251.3987994143,10996.6069258809,10230.7370491444,11141.6398477333,10217.2409152928,10213.2582342555,10274.22,10264.1940552995,10324.3440625
2018-01-23 13:00:00 UTC,10285.2341425042,10325.4842650702,11024.9118499127,10285.0870683394,11158.9205745257,10285.3604097925,10263.3362758621,10332.4903430079,10331.4465201465,10199.1275
2018-01-23 14:00:00 UTC,10325.1762470594,10344.4269317753,11107.8525390625,10324.2816311204,11158.001648972,10314.3496825397,10350.1996013514,10319.1409684685,10374.5436363636,10198.4833870968
2018-01-23 15:00:00 UTC,10612.5643713733,10609.0517142856,11372.6548866855,10594.6120181201,11224.1611277074,10595.5205500382,10594.1860201033,10569.1224507042,10681.8824839562,10385.4234146341
2018-01-23 16:00:00 UTC,11107.7044933331,11099.9687801908,11838.2545502646,11069.5467736077,11772.9697984285,11074.4215413534,11082.3317239404,11118.4386010363,11127.5672228843,10874.0244444444
2018-01-23 17:00:00 UTC,11201.1704274756,11206.5792375274,11901.5865652725,11183.1537128966,11892.3862681348,11194.613189415,11187.9051587585,11174.9333333333,11243.738124772,11181.7242857143
2018-01-23 18:00:00 UTC,11259.2722982361,11255.5883988354,11940.6632911392,11220.7120363737,11943.7205991801,11239.0505786249,11243.3808342542,11204.6202681992,11290.500125261,11126.1793617021
2018-01-23 19:00:00 UTC,11085.9929160247,11111.3847172734,11809.7874570447,11049.7242114216,11802.1422563817,11101.6034456453,11098.6180256,11081.9182378855,11126.6314007183,11199.2890123457
2018-01-23 20:00:00 UTC,11028.9544403333,11026.0719501854,11716.7308677098,11015.3340485933,11709.0995330767,11039.7670023981,11033.3528905561,11019.4700955414,11053.4904491482,11098.9658461538
2018-01-23 21:00:00 UTC,11011.6271599565,11018.5575170533,11730.8431718062,11004.8539211225,11796.0166798892,11022.1146430869,11039.1735588235,11037.2562601626,11042.9461669506,11105.0502666667
2018-01-23 22:00:00 UTC,11072.220826754,11108.6336854104,11786.9189189189,11085.7590243902,11798.475625866,11090.8575528701,11095.4642004505,11108.5712941176,11109.1476482618,11153.0106060606
2018-01-23 23:00:00 UTC,10872.7517403642,10900.8298731118,11631.9735981308,10877.2086431132,11689.9256988463,10888.0340645635,10892.6410828626,10918.692,10914.8947769314,10962.7785526316
2018-01-24 00:00:00 UTC,10702.1250934204,10741.8753409682,11446.1941475827,10713.5667584864,11621.0107756683,10717.7556072727,10719.5750814054,10734.3019469027,10738.2654906285,10708.1891525424
2018-01-24 01:00:00 UTC,10673.5306280218,10700.8820980393,11438.5386308068,10680.1620433535,11637.3233134318,10691.9216716642,10686.7745627376,10702.0826,10711.7555157593,10615.6848
2018-01-24 02:00:00 UTC,10638.9348598675,10696.206441048,11403.553125,10672.7170574801,11617.8720948853,10689.5152079772,10644.2181125,10715.2910884354,10704.8614371258,10644.0911290323
2018-01-24 03:00:00 UTC,10779.3824480096,10813.4769661922,11534.671641791,10793.9271340273,11678.9464989589,10806.7025126476,10774.4044619799,10804.5679695431,10826.7639442231,10589.220862069
2018-01-24 04:00:00 UTC,10581.8217554179,10603.9151992162,11364.3981927711,10597.260625777,11542.1275129614,10617.3145722714,10603.1427670753,10641.2482793017,10649.9808435852,10568.3816949153
2018-01-24 05:00:00 UTC,10655.0895935502,10676.4926024785,11376.8280839895,10675.3592745455,11620.6384514573,10685.6083770076,10648.1841168289,10681.2030827068,10703.7145865835,10661.8659375
2018-01-24 06:00:00 UTC,10860.3954656985,10858.1052427184,11590.796969697,10827.7586990932,11749.2119344204,10812.0400632912,10834.0277142857,10825.9269747899,10881.9273313783,10692.5077419355
2018-01-24 07:00:00 UTC,10974.660366893,10996.8646728253,11712.4586011342,10964.9579249772,11826.6559928187,10994.1141282051,10969.0593481717,10978.1292626728,11022.2109285714,10961.3520731707
2018-01-24 08:00:00 UTC,10917.8028262463,10944.6807892721,11651.1762749446,10899.2430415754,11794.072579922,10940.9694176373,10939.9253276793,10911.0273913043,10961.8919619706,11037.1046511628
2018-01-24 09:00:00 UTC,10857.5452639655,10913.3340122915,11624.1691148776,10843.7271734946,11779.8315559854,10857.3863829787,10863.6780196254,10859.0718571429,10890.5636217949,10920.7287804878
2018-01-24 10:00:00 UTC,11032.526091139,11091.9495385942,11778.0971014493,11023.1405432042,11874.8970587171,11036.9803691275,11036.4534257872,11028.8045454545,11062.3214656664,10842.6156140351
2018-01-24 11:00:00 UTC,11017.303686352,11045.2115015806,11769.7105990783,10998.1118939693,11861.7277960186,11000.4231328807,11044.0813321168,10999.8441433022,11045.1505201561,10870.3844897959
2018-01-24 12:00:00 UTC,11241.6146717835,11276.672827673,11947.3630057803,11176.8032373541,12033.3176526242,11203.0846375922,11211.5640089336,11242.0131151833,11257.7097826088,10982.2541071429
2018-01-24 13:00:00 UTC,11279.8422889104,11300.045901557,11977.861981982,11234.7162640372,12053.4963703629,11254.0475953079,11267.6212095175,11278.3615206186,11278.4850843061,11113.3128985507
2018-01-24 14:00:00 UTC,11377.1932780668,11366.9231981278,12045.6116847826,11319.4689231096,12062.1253413421,11331.040725,11356.8166137356,11355.3289173228,11364.3396245391,11173.7257317073
2018-01-24 15:00:00 UTC,11207.4691637948,11216.0787406758,11920.7351669941,11166.6351476311,11948.8146338225,11199.5583846154,11200.7183614458,11217.6540331492,11208.1177463683,11201.0909473684
2018-01-24 16:00:00 UTC,11029.2836896628,11042.1262014135,11765.3936752137,11005.2060861089,11809.4005022376,11015.8560440986,11033.9933788396,11019.9989932886,11051.6052228079,11148.2132283465
2018-01-24 17:00:00 UTC,10988.711815853,11000.8420884049,11746.4876355748,10956.7618056323,11784.1506913338,10990.6839005236,11001.3922421525,10989.1233333333,11015.1943187796,11061.7622222222
2018-01-24 18:00:00 UTC,11095.3452660651,11096.7859059633,11871.108428246,11059.8091775815,11927.8592411605,11076.0277316294,11094.0011298315,11092.7898765432,11126.602907245,11000.8549180328
2018-01-24 19:00:00 UTC,11144.0590439542,11134.3524711317,11902.217603912,11105.8355597484,11971.2419358159,11144.1448695652,11141.0054035874,11140.6509289617,11157.9585334198,11049.7884210526
